Component,Token,Kiểu,Giá trị mặc định,Mô tả (EN),Cách dùng trong components config
Menu,horizontalItemHoverColor,string,rgba(0;0;0;0.88),Hovered item text (horizontal),Màu chữ hover (horizontal)
Menu,popupBg,string,#fff,Popup/dropdown submenu background,Nền popup submenu
Menu,darkItemColor,string,rgba(255;255;255;0.65),Dark theme item text color,Chữ item (dark)
Menu,darkItemSelectedBg,string,#1677ff,Dark theme selected item bg,Nền item chọn (dark)
Menu,darkItemSelectedColor,string,#fff,Dark theme selected item text,Chữ item chọn (dark)
Menu,darkItemHoverBg,string,transparent,Dark theme hovered item bg,Nền item hover (dark)
Menu,darkSubMenuItemBg,string,#000c17,Dark theme submenu bg,Nền submenu (dark)
Menu,darkGroupTitleColor,string,rgba(255;255;255;0.45),Group title color in dark theme,Màu tiêu đề group (dark)
Menu,collapsedWidth,number,80,Width when sidebar collapsed,Độ rộng khi menu thu gọn
Menu,collapsedIconSize,number,16,Icon size when collapsed,Cỡ icon khi thu gọn
=== LAYOUT ===,,,,,
Layout,headerBg,string,#001529,Background color of layout header,Nền header layout
Layout,colorBgBody,string,#f5f5f5,Background color of layout body,Nền body layout
Layout,colorBgTrigger,string,#002140,Background of sider collapse trigger,Nền nút thu gọn sider
Layout,colorTextTrigger,string,#fff,Text/icon color of trigger,Màu icon nút thu gọn
Layout,headerHeight,number,64,Height of header,Chiều cao header
Layout,headerPadding,string,0 50px,Padding of header,Padding header
Layout,headerColor,string,rgba(0;0;0;0.88),Text color of header,Màu chữ header
Layout,footerPadding,string,24px 50px,Padding of footer,Padding footer
Layout,footerBg,string,rgba(0;0;0;0.02),Background of footer,Nền footer
Layout,siderBg,string,#001529,Background of sider,Nền sider
Layout,lightSiderBg,string,#fff,Background of light-mode sider,Nền sider (light mode)
Layout,lightTriggerBg,string,#fff,Trigger background in light mode,Nền trigger (light)
Layout,lightTriggerColor,string,rgba(0;0;0;0.88),Trigger color in light mode,Màu trigger (light)
=== CARD ===,,,,,
Card,headerBg,string,transparent,Background of card header,Nền header card
Card,headerFontSize,number,16,Font size of card header,Cỡ chữ header card
Card,headerFontSizeSM,number,14,Font size of small card header,Cỡ chữ header card small
Card,headerHeight,number,56,Height of card header,Chiều cao header card
Card,headerHeightSM,number,38,Height of small card header,Chiều cao header card small
Card,actionsBg,string,#fff,Background of card actions area,Nền vùng actions card
Card,actionsLiMargin,string,12px 0,Margin of action items,Margin action item
Card,tabsMarginBottom,number,-17,Margin bottom of tabs in card,Margin tab trong card
Card,extraColor,string,rgba(0;0;0;0.88),Color of card extra content,Màu extra content
=== TAG ===,,,,,
Tag,defaultBg,string,rgba(0;0;0;0.02),Default background of tag,Nền tag mặc định
Tag,defaultColor,string,rgba(0;0;0;0.88),Default text color of tag,Chữ tag mặc định
=== BADGE ===,,,,,
Badge,indicatorZIndex,number|string,auto,Z-index of badge indicator,Z-index của badge
Badge,indicatorHeight,number,20,Height of badge (normal),Chiều cao badge
Badge,indicatorHeightSM,number,14,Height of small badge,Chiều cao badge small
Badge,dotSize,number,6,Size of dot badge,Kích thước badge dạng chấm
Badge,textFontSize,number,12,Font size of badge text,Cỡ chữ badge
Badge,textFontSizeSM,number,9,Font size of small badge text,Cỡ chữ badge small
Badge,textFontWeight,string,normal,Font weight of badge text,Độ đậm chữ badge
Badge,statusSize,number,6,Size of status badge dot,Kích thước chấm status badge
=== PAGINATION ===,,,,,
Pagination,itemBg,string,#fff,Background of pagination item,Nền item pagination
Pagination,itemSize,number,32,Size of pagination item,Kích thước item pagination
Pagination,itemSizeSM,number,24,Size of small pagination item,Kích thước item small
Pagination,itemActiveBg,string,#fff,Background of active pagination item,Nền item đang active
Pagination,itemInputBg,string,#fff,Background of input in pagination,Nền input pagination
Pagination,miniOptionsSizeChangerTop,number,0,Top offset for mini size-changer,Offset top mini size-changer
=== TOOLTIP ===,,,,,
Tooltip,colorBgDefault,string,rgba(0;0;0;0.85),Default background of tooltip,Nền tooltip
Tooltip,colorTextLightSolid,string,#fff,Text color on dark background,Màu chữ trên nền tối
=== NOTIFICATION ===,,,,,
Notification,zIndexPopup,number,2050,Z-index of notification,Z-index notification
Notification,width,number,384,Width of notification,Độ rộng notification
=== ALERT ===,,,,,
Alert,defaultPadding,string,8px 12px,Default padding of alert,Padding alert mặc định
Alert,withDescriptionPadding,string,20px 24px,Padding when has description,Padding khi có description
Alert,withDescriptionIconSize,number,24,Icon size when has description,Cỡ icon khi có description
=== DRAWER ===,,,,,
Drawer,footerPaddingBlock,number,8,Vertical padding of footer,Padding dọc footer drawer
Drawer,footerPaddingInline,number,16,Horizontal padding of footer,Padding ngang footer drawer
=== TABS ===,,,,,
Tabs,cardBg,string,rgba(0;0;0;0.02),Background of card-style tab,Nền tab kiểu card
Tabs,cardHeight,number,40,Height of card tab,Chiều cao tab card
Tabs,cardPadding,string,6px 16px,Padding of card tab,Padding tab card
Tabs,titleFontSize,number,14,Font size of tab title,Cỡ chữ tiêu đề tab
Tabs,titleFontSizeLG,number,16,Font size of large tab title,Cỡ chữ tab large
Tabs,titleFontSizeSM,number,14,Font size of small tab title,Cỡ chữ tab small
Tabs,inkBarColor,string,#1677ff,Color of active tab underline,Màu gạch dưới tab active
Tabs,horizontalItemGutter,number,32,Gap between horizontal tabs,Khoảng cách tab ngang
Tabs,horizontalItemPadding,string,12px 0,Padding of horizontal tab,Padding tab ngang
Tabs,verticalItemPadding,string,8px 24px,Padding of vertical tab,Padding tab dọc
Tabs,itemColor,string,rgba(0;0;0;0.88),Text color of tab item,Màu chữ tab
Tabs,itemSelectedColor,string,#1677ff,Text color of selected tab,Màu chữ tab đang chọn
Tabs,itemHoverColor,string,#1677ff,Text color of hovered tab,Màu chữ tab hover
Tabs,itemActiveColor,string,#0958d9,Text color when tab is active,Màu chữ tab active
Tabs,cardGutter,number,2,Gap between card tabs,Khoảng cách tab card
=== CHECKBOX ===,,,,,
Checkbox,colorBgContainer,string,#fff,Background of checkbox,Nền checkbox
Checkbox,borderRadiusSM,number,4,Border radius of checkbox,Bo góc checkbox
=== SWITCH ===,,,,,
Switch,trackHeight,number,22,Height of switch track,Chiều cao track switch
Switch,trackHeightSM,number,16,Height of small switch track,Chiều cao track switch small
Switch,trackMinWidth,number,44,Min width of switch track,Độ rộng tối thiểu track
Switch,trackMinWidthSM,number,28,Min width of small switch,Độ rộng tối thiểu switch small
Switch,handleSize,number,18,Size of switch handle,Kích thước handle switch
Switch,handleSizeSM,number,12,Size of small switch handle,Kích thước handle small
Switch,handleShadow,string,0 2px 4px 0 rgba(0;35;11;0.2),Shadow of switch handle,Bóng handle switch
Switch,innerMinMargin,number,3,Minimum inner margin,Margin trong tối thiểu
Switch,innerMaxMargin,number,9,Maximum inner margin,Margin trong tối đa
=== TYPOGRAPHY ===,,,,,
Typography,titleMarginBottom,string|number,0.5em,Margin bottom of title,Margin dưới tiêu đề
Typography,titleMarginTop,string|number,1.2em,Margin top of title,Margin trên tiêu đề
Typography,fontWeightStrong,number,600,Font weight for strong/bold text,Độ đậm chữ strong
